"evidence","status","allowed_use","boundary"
"WSN-DS ten-seed FG-DS","primary","Predictive means, sample SDs, per-class metrics, paired tests","This estimates optimizer-seed variation on one fixed split. It does not estimate split-to-split uncertainty and it does not cover the full archived route matrix."
"Controlled ten-seed full-route matrix","current route evidence","Teacher and student route metrics and predeclared paired comparisons","This is a controlled FG-DS reimplementation of the complete route matrix. Route-level RNG resets and shared initial states differ from the archived sequential execution, so archived-to-current changes cannot be attributed to split correction alone."
"RF-KD temperature-alpha surface","descriptive sensitivity","Sensitivity to nine fixed hyperparameter cells per student","This response surface evaluates sensitivity after the clean primary run. The same fixed validation partition is used for early stopping in every cell and the same fixed test partition is evaluated repeatedly. The surface must not be used for post-hoc model selection, a new primary claim, or an unbiased estimate of a selected cell's generalization."
"Repeated-pattern analysis","sensitivity","Inverse-group-size and pure-group-representative route metrics","Row-level metrics remain primary because they preserve the benchmark record distribution. Inverse-group-size and one-representative-per-pure-group views are sensitivity analyses for repeated exact test patterns, not replacement test sets."
"Exact-lineage seed-42 SHAP","single-specimen XAI","Partial student-teacher feature-rank alignment under T=1 and T=4 output contracts","The audit explains a fixed stratified subset of 500 of the 56,301 FG-DS test records for one preserved Linux deployment-replication seed-42 trained state per student. These are distinct from the local Windows ten-seed seed-42 checkpoints. Cluster-bootstrap intervals resample exact feature groups and condition on each background and explainer seed. Across-replicate variation reflects 3 training-background and permutation-seed pairs. The RF explanations belong to an output-validated reconstruction; equivalence to the unavailable original RF on synthetic masked inputs is not established. The independent masker can evaluate feature combinations outside the observed joint distribution. These quantities do not represent retrained-model uncertainty, MCU behavior, or causal knowledge transfer."
"Seed-42 runtime and HIL","primary deployment evidence","Runtime conversion and execution fidelity for one fixed model specimen","USB and Wi-Fi replay the same two model artifacts on the same test records. They are transport and execution replications, not independent predictive samples."
"Seed-42 fixed-point refinement","software-only candidate","Validation-selected fixed-point refinement metrics and numeric audits","The refinement changes the two model states after validation-based epoch selection. It has not been strictly exported or replayed on either board, so it cannot replace the preserved PTQ USB or Wi-Fi results."
"Current FG-DS MSP430F1611","static cross-compile evidence","Static flash, RAM lower-bound, and per-function stack evidence","Static MSP430F1611 cross-compile and memory-footprint evidence only. No physical TelosB execution, latency, energy, radio integration, or live WSN feature-extraction claim is supported."
"Edge-IIoTset group-aware","secondary","Protocol-sensitive robustness evidence","The group-aware Edge protocol changes the split, feature representation, teacher size, and training configuration relative to the literature-style run. Score differences cannot be attributed to grouping alone."
"SHAP-v2 partial attempt","excluded incomplete","Forensic traceability only","The v2 attempt has neither a final report nor an artifact manifest. It is preserved for forensic traceability and supports no result claim."
"Historical QAT/SHAP/legacy MSP430/random-row extensions","non-primary","Clearly labeled historical or exploratory discussion only","These artifacts do not share the current FG-DS deployment lineage."
